,name,salary_from,salary_to,salary_currency,area_name,published_at
705,Системный аналитик,,,,Москва,2022-12-23T11:34:35+0300
706,Сетевой администратор,,,,Казань,2022-12-23T08:55:52+0300
707,Наладчик технологического оборудования 3 разряда-6 разряда,50000.0,,RUR,Белово,2022-12-23T08:34:45+0300
708,Начальник сектора (печатные платы),80000.0,100000.0,RUR,Москва,2022-12-23T11:55:36+0300
709,Site Reliability Engineering (SRE),,280000.0,RUR,Владивосток,2022-12-23T11:50:37+0300
710,Системный администратор (администратор безопасности)(4604),50000.0,,RUR,Москва,2022-12-23T11:26:49+0300
711,Фрезеровщик,,,,Щелково,2022-12-23T11:03:35+0300
712,Токарь-универсал,100000.0,112000.0,RUR,Канаш,2022-12-23T10:43:20+0300
713,Инженер-электроник,,45000.0,RUR,Чайковский,2022-12-23T08:24:12+0300
714,Старший механик,53000.0,53000.0,RUR,Мамадыш,2022-12-23T10:42:27+0300
715,Android Developer,,,,Ташкент,2022-12-23T09:09:48+0300
716,Старший механик,53000.0,53000.0,RUR,Менделеевск,2022-12-23T10:42:31+0300
717,Токарь-универсал,65000.0,80000.0,RUR,Новокузнецк,2022-12-23T11:36:13+0300
718,Главный специалист календарно - сетевого планирования,,,,Москва,2022-12-23T10:41:24+0300
719,Разработчик HR-функциональности на технологии 1С:Предприятие.Элемент,,,,Москва,2022-12-23T10:54:49+0300
720,Автор по программированию,,50000.0,RUR,Казань,2022-12-23T08:32:59+0300
721,Руководитель отдела (автоматизация),80000.0,120000.0,RUR,Новосибирск,2022-12-23T09:28:29+0300
722,Руководитель проектов по ИТ-инфраструктуре,,,,Москва,2022-12-23T10:24:18+0300
723,Technical Sales Expert (Cloud Advanced),,,,Москва,2022-12-23T10:09:50+0300
724,Шлифовщик профильной шлифовки,45000.0,,RUR,Чебоксары,2022-12-23T09:10:21+0300
725,Оператор станков с программным управлением,50000.0,,RUR,Красноярск,2022-12-23T08:28:57+0300
726,Технический руководитель проекта,,,,Санкт-Петербург,2022-12-23T11:33:34+0300
727,Шлифовщик,40000.0,,RUR,Екатеринбург,2022-12-23T09:31:56+0300
728,Руководитель группы системных администраторов,,,,Москва,2022-12-23T10:19:58+0300
729,Наладчик-оператор упаковочного оборудования,,58000.0,RUR,Москва,2022-12-23T08:14:18+0300
730,CRM-менеджер,,,,Москва,2022-12-23T09:30:08+0300
731,Специалист службы поддержки в Яндекс Станцию,13000.0,33800.0,RUR,Подольск (Московская область),2022-12-23T10:24:42+0300
732,Ведущий консультант SAP (MM),,,,Ижевск,2022-12-23T09:45:30+0300
733,Ведущий инженер-электронщик (печатные платы),,,,Санкт-Петербург,2022-12-23T10:24:04+0300
734,Разработчик Greenplum,,,,Москва,2022-12-23T10:09:37+0300
735,Ночной консультант службы поддержки пользователей,15600.0,39000.0,RUR,Санкт-Петербург,2022-12-23T09:46:36+0300
736,Ведущий инженер по тестированию,,,,Москва,2022-12-23T11:28:35+0300
737,Оператор станков с ЧПУ (фрезеровка),55000.0,65000.0,RUR,Санкт-Петербург,2022-12-23T08:58:42+0300
738,Руководитель отдела (распределение),80000.0,120000.0,RUR,Новосибирск,2022-12-23T09:28:28+0300
739,Помощник системного администратора в Yandex Cloud,54000.0,70200.0,RUR,Новокуйбышевск,2022-12-23T10:24:52+0300
740,Наладчик технологического оборудования,35000.0,,RUR,Чебоксары,2022-12-23T10:32:07+0300
741,Аналитик/системный аналитик,,,,Новосибирск,2022-12-23T10:56:33+0300
742,Наладчик экструзионного оборудования,60000.0,,RUR,Дзержинск (Нижегородская область),2022-12-23T09:05:33+0300
743,Специалист по сопровождению систем 1С,,,,Красногорск,2022-12-23T10:12:43+0300
744,Администратор 1С (Специалист поддержки),,100000.0,RUR,Владивосток,2022-12-23T09:58:03+0300
745,Аналитик 1C,,109000.0,RUR,Москва,2022-12-23T08:05:39+0300
746,Middle PHP-developer,150000.0,230000.0,RUR,Санкт-Петербург,2022-12-23T10:54:33+0300
747,Аналитик 1С,,,,Новомосковск (Тульская область),2022-12-23T11:44:51+0300
748,Senior Android разработчик в онлайн-кинотеатр KION,,,,Москва,2022-12-23T11:05:21+0300
749,Наладчик станков и манипуляторов с программным управлением,75900.0,122000.0,RUR,Санкт-Петербург,2022-12-23T09:04:32+0300
750,Помощник системного администратора в Yandex Cloud,54000.0,70200.0,RUR,Железногорск (Курская область),2022-12-23T10:24:51+0300
751,Оператор фрезерного станка с ЧПУ,60000.0,,RUR,Обнинск,2022-12-23T08:55:20+0300
752,Системный администратор Linux,170000.0,,RUR,Москва,2022-12-23T10:04:20+0300
753,Механик (слесарь ремонтник),50000.0,50000.0,RUR,Челябинск,2022-12-23T08:55:02+0300
754,Помощник системного администратора в Yandex Cloud,54000.0,70200.0,RUR,Первоуральск,2022-12-23T10:24:47+0300
755,Фрезеровщик,70000.0,,RUR,Химки,2022-12-23T10:21:52+0300
756,Помощник системного администратора в Yandex Cloud,54000.0,70200.0,RUR,Невинномысск,2022-12-23T10:24:46+0300
757,Помощник системного администратора в Yandex Cloud,54000.0,70200.0,RUR,Благовещенск (Амурская область),2022-12-23T10:24:33+0300
758,Android разработчик,,,,Рязань,2022-12-23T10:11:53+0300
759,Ведущий инженер сопровождения,,,,Новосибирск,2022-12-23T10:10:53+0300
760,"Электромеханик участка сигнализации, централизации и блокировки",63000.0,,RUR,Киселевск,2022-12-23T07:14:09+0300
761,Механик АБЗ,55000.0,60000.0,RUR,Иглино,2022-12-23T08:58:51+0300
762,Разработчик хранилищ данных / BI,,,,Санкт-Петербург,2022-12-23T10:51:14+0300
763,Product Owner (Tech),,,,Санкт-Петербург,2022-12-23T11:35:48+0300
764,Главный эксперт (Сектор анализа и сопровождения отчётности HR),,,,Краснодар,2022-12-23T09:57:30+0300
765,Специалист технической поддержки,50000.0,,RUR,Домодедово,2022-12-23T08:14:18+0300
766,Frontend разработчик (Angular),,,,Рязань,2022-12-23T10:11:53+0300
767,Помощник системного администратора в Yandex Cloud,54000.0,70200.0,RUR,Чебоксары,2022-12-23T10:24:34+0300
768,Токарь,35000.0,70000.0,RUR,Омск,2022-12-23T11:09:02+0300
769,Помощник системного администратора в Yandex Cloud,54000.0,70200.0,RUR,Раменское,2022-12-23T10:24:45+0300
770,Senior Java Разработчик,,,,Москва,2022-12-23T10:57:23+0300
771,Инженер-программист АСУ ТП - I категории,75000.0,,RUR,Тюмень,2022-12-23T08:21:14+0300
772,Специалист технической поддержки,,,,Киров (Кировская область),2022-12-23T09:04:23+0300
773,Мастер участка по ремонту оборудования,30000.0,,RUR,Киров (Кировская область),2022-12-23T10:54:11+0300
774,Эксперт по закупкам услуг IT-подрядчиков,,,,Казань,2022-12-23T08:55:52+0300
775,Помощник системного администратора в Yandex Cloud,54000.0,70200.0,RUR,Каменск-Уральский,2022-12-23T10:24:39+0300
776,Механик,44000.0,52000.0,RUR,Мамадыш,2022-12-23T10:42:05+0300
777,1С Программист (в тч удаленно),150000.0,200000.0,RUR,Краснодар,2022-12-23T08:45:54+0300
778,Системный аналитик,,,,Москва,2022-12-23T10:13:11+0300
779,Механик,,,,Москва,2022-12-23T11:36:11+0300
780,Аналитик BI / Владелец системы отчетности,55000.0,110000.0,RUR,Владивосток,2022-12-23T09:06:37+0300
781,Фрезеровщик- расточник,50000.0,,RUR,Тамбов,2022-12-23T11:41:30+0300
782,Автор по программированию,,50000.0,RUR,Нижний Новгород,2022-12-23T08:32:59+0300
783,Механик,44000.0,52000.0,RUR,Менделеевск,2022-12-23T10:42:09+0300
784,Фрезеровщик,,,,Ивантеевка,2022-12-23T11:03:35+0300
785,Помощник системного администратора в Yandex Cloud,54000.0,70200.0,RUR,Мытищи,2022-12-23T10:24:31+0300
786,Программист 1С,,,,Йошкар-Ола,2022-12-23T09:58:31+0300
787,Механик погрузочно-разгрузочной техники (РЦ Домодедово),55000.0,,RUR,Домодедово,2022-12-23T10:02:14+0300
788,Инженер отдела биллинга,,,,Бишкек,2022-12-23T09:11:20+0300
789,Системный администратор серверной инфраструктуры,,,,Киров (Кировская область),2022-12-23T09:04:23+0300
790,Программист 1С,,150000.0,RUR,Новосибирск,2022-12-23T09:28:29+0300
791,Механик,44000.0,52000.0,RUR,Елабуга,2022-12-23T10:42:17+0300
792,Backend разработчик (middle),,,,Барнаул,2022-12-23T11:29:59+0300
793,Помощник системного администратора в Yandex Cloud,54000.0,70200.0,RUR,Сызрань,2022-12-23T10:24:37+0300
794,Программист 1С,,,,Саратов,2022-12-23T10:15:10+0300
795,Ведущий специалист 2 линии технической поддержки,,,,Москва,2022-12-23T08:55:52+0300
796,Ведущий системный администратор,,,,Омск,2022-12-23T07:45:23+0300
797,Владелец ИТ-продукта / Product manager,60000.0,130000.0,RUR,Владивосток,2022-12-23T09:06:29+0300
798,Бизнес-аналитик,50000.0,,RUR,Дзержинск (Нижегородская область),2022-12-23T09:05:47+0300
799,Менеджер по продажам,70000.0,,RUR,Санкт-Петербург,2022-12-23T10:08:20+0300
800,Middle PHP-developer (удаленно),150000.0,230000.0,RUR,Казань,2022-12-23T10:54:16+0300
801,Токарь,35000.0,70000.0,RUR,Омск,2022-12-23T11:09:01+0300
802,Оператор станков с программным управлением,40000.0,45000.0,RUR,Новосибирск,2022-12-23T09:28:29+0300
803,Site Reliability Engineering (SRE),,280000.0,RUR,Хабаровск,2022-12-23T11:50:42+0300
804,Категорийный менеджер канала продаж Маркетплейсы,110000.0,,RUR,Санкт-Петербург,2022-12-23T09:46:23+0300
805,Электрик-диагност,52000.0,52000.0,RUR,Пермь,2022-12-23T09:14:51+0300
806,Бизнес-аналитик,,,,Москва,2022-12-23T09:58:53+0300
807,Токарь-универсал,50000.0,100000.0,RUR,Орел,2022-12-23T10:45:00+0300
808,QA Automation Engineer,,,,Москва,2022-12-23T11:50:47+0300
809,Аналитик отдела маркетинга,40000.0,,RUR,Новосибирск,2022-12-23T06:26:28+0300
810,Токарь,,75200.0,RUR,Москва,2022-12-23T08:29:15+0300
811,Фрезеровщик,46000.0,106000.0,RUR,Чехов,2022-12-23T10:53:49+0300
812,Оператор - наладчик станков с ЧПУ,60000.0,,RUR,Челябинск,2022-12-23T07:13:39+0300
813,Сетевой администратор,,,,Москва,2022-12-23T11:41:48+0300
814,Помощник системного администратора в Yandex Cloud,54000.0,70200.0,RUR,Октябрьский (Республика Башкортостан),2022-12-23T10:24:46+0300
815,Программист 1С,,120000.0,RUR,Ижевск,2022-12-23T10:46:17+0300
816,Техник-механик,48000.0,,RUR,Санкт-Петербург,2022-12-23T10:05:11+0300
817,Фрезеровщик-универсал,60000.0,100000.0,RUR,Нижний Новгород,2022-12-23T08:50:55+0300
818,Инженер-программист,,,,Калининград,2022-12-23T11:02:21+0300
819,Токарь,,,,Тамбов,2022-12-23T11:41:20+0300
820,Менеджер IT-проектов,35000.0,,RUR,Тамбов,2022-12-23T09:36:48+0300
821,Системный администратор Linux,,,,Москва,2022-12-23T11:28:34+0300
822,Специалист отдела БДД,44000.0,44000.0,RUR,Йошкар-Ола,2022-12-23T08:09:36+0300
823,Руководитель EP проекта реконструкции аммиака,,,,Москва,2022-12-23T11:44:26+0300
824,Старший специалист отдела сетевой и серверной инфраструктуры,,,,Москва,2022-12-23T10:32:24+0300
825,Помощник системного администратора в Yandex Cloud,54000.0,70200.0,RUR,Новый Уренгой,2022-12-23T10:24:47+0300
826,Администратор Битрикс.24 (в офисе),,,,Краснодар,2022-12-23T11:23:39+0300
827,Аналитик по направлению систем виртуализации,,,,Москва,2022-12-23T09:37:39+0300
828,Токарь-универсал,100000.0,112000.0,RUR,Тольятти,2022-12-23T10:43:04+0300
829,Фрезеровщик (4-6 разряд),,100000.0,RUR,Москва,2022-12-23T10:42:45+0300
830,Middle/Middle+ QA Automation Engineer (Java),,,,Москва,2022-12-23T10:30:54+0300
831,Токарь,70000.0,120000.0,RUR,Москва,2022-12-23T11:03:46+0300
832,Ведущий инженер-программист,110000.0,,RUR,Москва,2022-12-23T11:15:17+0300
833,Системный аналитик,,,,Омск,2022-12-23T08:30:27+0300
834,Менеджер по работе с клиентами,30000.0,,RUR,Муром,2022-12-23T08:53:25+0300
835,Оператор станка (деревообработка),27700.0,27700.0,RUR,Барнаул,2022-12-23T09:47:43+0300
836,Помощник системного администратора в Yandex Cloud,54000.0,70200.0,RUR,Керчь,2022-12-23T10:24:38+0300
837,Консультант-аналитик 1С,120000.0,,RUR,Нижний Новгород,2022-12-23T10:11:57+0300
838,Руководитель СТО,70000.0,,RUR,Тюмень,2022-12-23T08:41:29+0300
839,Системный аналитик (Middle/Senior),115000.0,,RUR,Тула,2022-12-23T10:26:28+0300
840,Фрезеровщик,40000.0,60000.0,RUR,Омск,2022-12-23T11:09:01+0300
841,Оператор листогибочного станка с ЧПУ DURMA,45000.0,60000.0,RUR,Омск,2022-12-23T11:09:02+0300
842,Автор по программированию,,50000.0,RUR,Ростов-на-Дону,2022-12-23T08:32:59+0300
843,Токарь по обработке абразивных изделий,35000.0,,RUR,Иваново (Ивановская область),2022-12-23T08:24:30+0300
844,Middle+ / Senior Java разработчик,,,,Москва,2022-12-23T10:39:40+0300
845,Специалист поддержки 1C: Бухгалтерия (2 линия),,,,Москва,2022-12-23T11:48:24+0300
846,Team Lead C++,,,,Новосибирск,2022-12-23T07:09:46+0300
847,Старший механик,53000.0,53000.0,RUR,Грахово,2022-12-23T10:42:22+0300
848,Токарь-карусельщик,115000.0,,RUR,Магнитогорск,2022-12-23T11:19:02+0300
849,Токарь,,,,Нижний Тагил,2022-12-23T08:00:18+0300
850,Менеджер по работе с клиентами,40000.0,,RUR,Новосибирск,2022-12-23T07:57:53+0300
851,Токарь-универсал,100000.0,112000.0,RUR,Саратов,2022-12-23T10:42:50+0300
852,"Судовой механик на круизный теплоход ""Империя"", оз. Байкал",60000.0,,RUR,Иркутск,2022-12-23T06:01:13+0300
853,Помощник системного администратора в Yandex Cloud,54000.0,70200.0,RUR,Долгопрудный,2022-12-23T10:24:46+0300
854,Главный системный администратор,,,,Кемерово,2022-12-23T06:08:25+0300
855,Механик-наладчик производственного оборудования,50000.0,,RUR,Ростов-на-Дону,2022-12-23T10:03:40+0300
856,"Инженер данных (качество сервисов,SLA)",,,,Нижний Новгород,2022-12-23T08:55:52+0300
857,Специалист службы поддержки в Яндекс Станцию,13000.0,33800.0,RUR,Набережные Челны,2022-12-23T10:24:43+0300
858,Системный аналитик,,,,Москва,2022-12-23T11:25:29+0300
859,Программист С/С++,,,,Минск,2022-12-23T10:59:36+0300
860,Аналитик 1С,,130000.0,RUR,Новосибирск,2022-12-23T09:28:29+0300
861,Системный аналитик,,,,Рязань,2022-12-23T10:11:53+0300
862,Инженер-программист АСУ ТП - ведущий,100000.0,,RUR,Тюмень,2022-12-23T08:21:10+0300
863,Инженер-программист C#,,,,Тольятти,2022-12-23T06:45:14+0300
864,Machine Learning Engineer,,,,Москва,2022-12-23T11:28:35+0300
865,Наладчик автоматов и полуавтоматов (КСПУ),30000.0,,RUR,Ульяновск,2022-12-23T07:49:08+0300
866,Инженер службы поддержки,,,,Москва,2022-12-23T10:51:33+0300
867,Middle разработчик 1С,120000.0,,RUR,Новосибирск,2022-12-23T06:55:05+0300
868,Токарь-универсал,40000.0,60000.0,RUR,Челябинск,2022-12-23T08:54:36+0300
869,Токарь-универсал,100000.0,112000.0,RUR,Йошкар-Ола,2022-12-23T10:43:08+0300
870,Механик,44000.0,52000.0,RUR,Грахово,2022-12-23T10:41:59+0300
871,Электроник по ремонту и обслуживанию металлообрабатывающих станков с ЧПУ,40000.0,40000.0,RUR,Саратов,2022-12-23T08:21:58+0300
872,Инженер-механик (в г. Ханты-Мансийск),50000.0,,RUR,Омск,2022-12-23T07:20:50+0300
873,Business Data Engineer,,,,Рязань,2022-12-23T10:11:53+0300
874,Инженер-электронщик,,,,Мытищи,2022-12-23T11:37:47+0300
875,Токарь (6 разряд),60000.0,60000.0,RUR,Тула,2022-12-23T08:55:27+0300
876,Инженер-программист,29380.0,67800.0,RUR,Киров (Кировская область),2022-12-23T10:24:28+0300
877,Программист 1С,200000.0,,RUR,Москва,2022-12-23T11:48:11+0300
878,Программист 1С (Ведущий инженер) 9520,,,,Москва,2022-12-23T11:30:39+0300
879,Программист/Ведущий программист 1C,80000.0,,RUR,Красноярск,2022-12-23T08:28:58+0300
880,Фрезеровщик,80000.0,,RUR,Москва,2022-12-23T11:09:06+0300
881,Middle PHP-developer (удаленно),150000.0,230000.0,RUR,Томск,2022-12-23T10:54:27+0300
882,Инженер по автоматизации тестирования (Java),,,,Пермь,2022-12-23T10:11:14+0300
883,Разработчик хранилища данных,,,,Екатеринбург,2022-12-23T07:59:45+0300
884,Руководитель бюро планирования ремонтов,,,,Казань,2022-12-23T09:56:08+0300
885,Бизнес-аналитик / организационный архитектор,,,,Екатеринбург,2022-12-23T10:18:36+0300
886,BTL- менеджер,120000.0,,RUR,Москва,2022-12-23T10:00:12+0300
887,Фрезеровщик,130000.0,150000.0,RUR,Тверь,2022-12-23T11:19:18+0300
888,Архитектор по ИТ инфраструктуре,,,,Москва,2022-12-23T10:24:10+0300
889,Программист 1С,,,,Санкт-Петербург,2022-12-23T10:56:48+0300
890,Data Engineer,,,,Москва,2022-12-23T11:28:34+0300
891,Руководитель группы iOS-разработки (Почта Mail.ru),,,,Москва,2022-12-23T11:20:51+0300
892,Senior Java - разработчик,,,,Москва,2022-12-23T10:55:55+0300
893,Специалист розничных процессов,70000.0,100000.0,RUR,Владивосток,2022-12-23T09:06:02+0300
894,DevOps Engineer,,,,Москва,2022-12-23T10:05:58+0300
895,Заместитель директора по имущественным вопросам,,,,Архангельск,2022-12-23T10:22:25+0300
896,Администратор проектов 1С,46000.0,,RUR,Санкт-Петербург,2022-12-23T11:41:46+0300
897,"Инженер-программист, ПЛИС (FPGA)",130000.0,,RUR,Москва,2022-12-23T08:55:04+0300
898,Аналитик 1С,,,,Нижний Новгород,2022-12-23T11:46:31+0300
899,Инженер-технолог 1 категории,65000.0,,RUR,Москва,2022-12-23T11:14:18+0300
900,Инженер-механик (в г. Ханты-Мансийск),50000.0,,RUR,Тюмень,2022-12-23T07:20:50+0300
901,Инженер-механик,,85000.0,RUR,Сланцы,2022-12-23T11:57:58+0300
902,Senior/Middle Frontend Developer (nuxt.js),180000.0,320000.0,RUR,Санкт-Петербург,2022-12-23T10:54:37+0300
903,Программист 1С:ERP,,,,Екатеринбург,2022-12-23T09:35:34+0300
904,Инженер по холодильному оборудованию,60000.0,,RUR,Зеленодольск (Республика Татарстан),2022-12-23T08:47:26+0300
905,Рабочий по комплексному обслуживанию зданий,25120.0,25120.0,RUR,Омск,2022-12-23T06:34:44+0300
906,Графический дизайнер (г. Троицк),35000.0,45000.0,RUR,Троицк (Московская область),2022-12-23T10:06:04+0300
907,Наладчик электронного оборудования,,,,Санкт-Петербург,2022-12-23T10:36:25+0300
908,Инженер по сопровождению 1С,,25000.0,RUR,Тамбов,2022-12-23T09:36:52+0300
909,Механик горный службы по ремонту и эксплуатации,65000.0,75000.0,RUR,Белово,2022-12-23T09:26:45+0300
910,Консультант-аналитик 1С,120000.0,,RUR,Челябинск,2022-12-23T10:11:57+0300
911,Фрезеровщик,,105000.0,RUR,Астрахань,2022-12-23T11:54:15+0300
912,Network Administrator / Сетевой Администратор,,,,Москва,2022-12-23T11:48:08+0300
913,Senior PHP-developer,,297000.0,RUR,Санкт-Петербург,2022-12-23T10:54:22+0300
914,Разработчик ‎Android,,380000.0,RUR,Санкт-Петербург,2022-12-23T10:56:17+0300
915,Помощник системного администратора в Yandex Cloud,54000.0,70200.0,RUR,Пятигорск,2022-12-23T10:24:40+0300
916,Программист 1С,,,,Яхрома,2022-12-23T10:39:59+0300
917,Специалист по организации нормоконтроля ПСД и работе с информацией о проектных ошибках,,,,Усть-Каменогорск,2022-12-23T07:10:04+0300
918,Механик по техническому обслуживанию и ремонту карьерной техники (Новосибирская обл.),63000.0,65000.0,RUR,Новокузнецк,2022-12-23T07:46:34+0300
919,Системный аналитик,,,,Краснодар,2022-12-23T11:25:29+0300
920,Инженер-механик (в г. Ханты-Мансийск),50000.0,,RUR,Сургут,2022-12-23T07:20:50+0300
921,Помощник системного администратора в Yandex Cloud,54000.0,70200.0,RUR,Ангарск,2022-12-23T10:24:32+0300
922,Начальник отдела тестирования,,,,Москва,2022-12-23T10:44:10+0300
923,Ночной специалист технической поддержки,18000.0,45000.0,RUR,Москва,2022-12-23T09:45:22+0300
924,Ночной помощник системного администратора в Yandex Cloud,32400.0,81000.0,RUR,Казань,2022-12-23T09:46:05+0300
925,Столяр,,39330.0,RUR,Москва,2022-12-23T11:54:36+0300
926,Руководитель отдела разработки блочно-комплектного энергетического оборудования,80000.0,,RUR,Саратов,2022-12-23T10:28:53+0300
927,Ночной специалист технической поддержки,18000.0,45000.0,RUR,Екатеринбург,2022-12-23T09:45:24+0300
928,"Руководитель направления по информационной безопасности (Антивирус, Прокси, Банк-клиент)",,,,Москва,2022-12-23T09:37:05+0300
929,1С-Битрикс разработчик,,3400.0,BYR,Минск,2022-12-23T09:26:21+0300
930,Инженер-механик (в г. Ханты-Мансийск),50000.0,,RUR,Пермь,2022-12-23T07:20:50+0300
931,Помощник системного администратора в Yandex Cloud,54000.0,70200.0,RUR,Нефтеюганск,2022-12-23T10:24:44+0300
932,Ведущий программист PL/SQL,,,,Омск,2022-12-23T07:32:07+0300
933,Программист,50000.0,,RUR,Домодедово,2022-12-23T08:14:17+0300
934,Специалист службы поддержки в Яндекс ТВ,13000.0,33800.0,RUR,Набережные Челны,2022-12-23T10:24:46+0300
935,Главный специалист по сопровождению антивирусных систем (Kaspersky),,,,Москва,2022-12-23T09:37:05+0300
936,Токарь-расточник (5 разряд),,75000.0,RUR,Москва,2022-12-23T10:17:41+0300
937,Помощник системного администратора в Yandex Cloud,54000.0,70200.0,RUR,Реутов,2022-12-23T10:24:50+0300
938,Координатор в Отдел поддержки-бизнес процессов/Оператор SAP/Оператор 1С,48000.0,48000.0,RUR,Владивосток,2022-12-23T08:41:06+0300
939,Senior/Lead Python-разработчик,,,,Омск,2022-12-23T07:57:28+0300
940,Помощник системного администратора в Yandex Cloud,54000.0,70200.0,RUR,Новошахтинск,2022-12-23T10:24:51+0300
941,Senior/Lead Python-разработчик,,,,Уфа,2022-12-23T07:57:28+0300
942,Программист 1С (аккредитованная IT компания),100000.0,150000.0,RUR,Хабаровск,2022-12-23T07:36:39+0300
943,Руководитель группы разработки (аккредитованная IT-компания),250000.0,,RUR,Хабаровск,2022-12-23T07:36:29+0300
944,Системный аналитик,,,,Москва,2022-12-23T10:40:55+0300
945,DevOps инженер (HR платформа),,,,Москва,2022-12-23T10:05:46+0300
946,Штамповщик,45000.0,50000.0,RUR,Калуга,2022-12-23T09:15:21+0300
947,Помощник системного администратора в Yandex Cloud,54000.0,70200.0,RUR,Владикавказ,2022-12-23T10:24:29+0300
948,Главный аналитик качества данных,,,,Санкт-Петербург,2022-12-23T10:27:02+0300
949,BIM-менеджер,,,,Иркутск,2022-12-23T07:02:23+0300
950,Программист-методолог 1С,,200000.0,RUR,Санкт-Петербург,2022-12-23T09:18:47+0300
951,Senior/Lead Python-разработчик,,,,Иркутск,2022-12-23T07:57:28+0300
952,Ведущий инженер-механик,,109000.0,RUR,Сланцы,2022-12-23T11:57:27+0300
953,Программист 1C,90000.0,,RUR,Красноярск,2022-12-23T11:43:10+0300
954,Senior Frontend developer (Vue.js/Nuxt),250000.0,320000.0,RUR,Санкт-Петербург,2022-12-23T10:55:25+0300
955,Программист 1С,,,,Нижний Новгород,2022-12-23T10:15:10+0300
956,Ведущий консультант-аналитик 1С,,,,Владимир,2022-12-23T08:59:09+0300
957,Помощник системного администратора в Yandex Cloud,54000.0,70200.0,RUR,Муром,2022-12-23T10:24:49+0300
958,Senior Java-разработчик,,,,Казань,2022-12-23T11:17:34+0300
959,Помощник системного администратора в Yandex Cloud,54000.0,70200.0,RUR,Березники,2022-12-23T10:24:40+0300
960,Инженер-механик (в г. Ханты-Мансийск),50000.0,,RUR,Курган,2022-12-23T07:20:50+0300
961,"Руководитель проектов (Направление Щиты, Шкафы НКУ)",,,,Челябинск,2022-12-23T09:49:03+0300
962,Главный эксперт (Сектор анализа и сопровождения отчётности HR),,,,Москва,2022-12-23T09:58:22+0300
963,Помощник системного администратора в Yandex Cloud,54000.0,70200.0,RUR,Камышин,2022-12-23T10:24:50+0300
964,BIM-менеджер,,,,Кемерово,2022-12-23T07:02:23+0300
965,Инженер-механик по оборудованию,50000.0,50000.0,RUR,Томск,2022-12-23T11:29:03+0300
966,Ведущий программист 1С,450000.0,450000.0,KZT,Актобе,2022-12-23T09:46:34+0300
967,Руководитель проектов (Стенды датчиков),,,,Челябинск,2022-12-23T09:49:03+0300
968,Специалист-консультант 1С (оперативный учёт),,,,Ярославль,2022-12-23T10:06:56+0300
969,Системный архитектор (ERP системы),,,,Казань,2022-12-23T11:48:29+0300
970,Инженер КИПиА,,,,Улан-Удэ,2022-12-23T10:18:51+0300
971,Системный администратор,,,,Москва,2022-12-23T11:28:35+0300
972,Электромеханик связи,36098.0,36098.0,RUR,Сокур (Новосибирская область),2022-12-23T06:35:01+0300
973,Инженер КИПиА,,,,Чита,2022-12-23T10:18:05+0300
974,Помощник системного администратора в Yandex Cloud,54000.0,70200.0,RUR,Шахты,2022-12-23T10:24:31+0300
975,Middle Android developer,,,,Москва,2022-12-23T11:28:35+0300
976,Фрезеровщик,45000.0,,RUR,Чебоксары,2022-12-23T08:41:44+0300
977,Электромеханик по ремонту и обслуживанию холодильного оборудования,1700.0,,BYR,Слоним,2022-12-23T10:36:26+0300
978,Помощник системного администратора в Yandex Cloud,54000.0,70200.0,RUR,Старый Оскол,2022-12-23T10:24:32+0300
979,Консультант-аналитик 1С,140000.0,,RUR,Казань,2022-12-23T10:11:58+0300
980,Аналитик 1С,,,,Тольятти,2022-12-23T06:45:23+0300
981,Автор по программированию,,50000.0,RUR,Самара,2022-12-23T08:32:59+0300
982,Оператор станка на мебельное производство,,80000.0,RUR,Мытищи,2022-12-23T11:33:44+0300
983,Программист С,,,,Нахабино,2022-12-23T10:24:14+0300
984,Разработчик хранилищ данных / DWH,,,,Санкт-Петербург,2022-12-23T10:51:14+0300
985,Технический руководитель проектов 1С,,,,Санкт-Петербург,2022-12-23T11:42:04+0300
986,DevOps\SRE инженер,,,,Москва,2022-12-23T08:55:52+0300
987,Помощник системного администратора в Yandex Cloud,54000.0,70200.0,RUR,Уссурийск,2022-12-23T10:24:37+0300
988,Специалист службы поддержки в Яндекс Станцию,13000.0,33800.0,RUR,Киров (Кировская область),2022-12-23T10:24:43+0300
989,Ведущий инженер-механик,39016.0,,RUR,Нижний Новгород,2022-12-23T09:15:58+0300
990,Дизайнер,,,,Кемерово,2022-12-23T06:08:25+0300
991,Программист 1С (г.Барнаул),120000.0,,RUR,Барнаул,2022-12-23T08:13:42+0300
992,Дизайнер по шторам,150000.0,350000.0,KZT,Астана,2022-12-23T10:26:03+0300
993,Администратор эксплуатации ИТ платформ (Linux),60000.0,,RUR,Екатеринбург,2022-12-23T11:57:57+0300
994,Помощник системного администратора в Yandex Cloud,54000.0,70200.0,RUR,Евпатория,2022-12-23T10:24:50+0300
995,Шлифовщик по дереву,40000.0,45000.0,RUR,Санкт-Петербург,2022-12-23T08:46:24+0300
996,Оператор установки лазерной резки с ЧПУ,35000.0,50000.0,RUR,Омск,2022-12-23T11:09:02+0300
997,Регулировщик радиоэлектронной аппаратуры и приборов (07 КАС),25000.0,60000.0,RUR,Ульяновск,2022-12-23T06:40:39+0300
998,"Механик, г. Майкоп",,,,Белореченск,2022-12-23T11:28:12+0300
999,Инженер КИПиА,,,,Иркутск,2022-12-23T10:18:36+0300
