,name,salary_from,salary_to,salary_currency,area_name,published_at
70,.net разработчик,,,,Москва,2022-12-23T07:38:37+0300
71,Backend Developer RoR,150000.0,200000.0,RUR,Челябинск,2022-12-23T08:46:43+0300
72,Руководитель службы цифровизации,88000.0,88000.0,RUR,Санкт-Петербург,2022-12-23T11:56:04+0300
73,"Специалист по технической поддержке, 1 линия",34500.0,34500.0,RUR,Орел,2022-12-23T11:29:34+0300
74,Специалист отдела систем планирования и прогнозирования,,,,Москва,2022-12-23T11:59:52+0300
75,Бизнес-аналитик,120000.0,,RUR,Москва,2022-12-23T11:39:46+0300
76,Системный администратор,,,,Москва,2022-12-23T11:47:57+0300
77,Техник-инженер,30000.0,,RUR,Барнаул,2022-12-23T08:49:16+0300
78,Инженер (медицинское оборудование),100000.0,,RUR,Мытищи,2022-12-23T09:27:36+0300
79,Разработчик BI,,,,Москва,2022-12-23T09:56:56+0300
80,Гейм-дизайнер (Whalekit),,,,Армения,2022-12-23T10:39:35+0300
81,Программист SQL,35000.0,55000.0,RUR,Сочи,2022-12-23T10:59:55+0300
82,Инженер-программист (Системный администратор),40000.0,42000.0,RUR,Тюмень,2022-12-23T07:14:11+0300
83,Frontend-разработчик Middle,,,,Киров (Кировская область),2022-12-23T09:04:23+0300
84,Программист 1С,80000.0,,RUR,Барнаул,2022-12-23T09:58:45+0300
85,Графический дизайнер,,,,Ташкент,2022-12-23T08:22:24+0300
86,Автоматчик,,,,Калуга,2022-12-23T11:05:55+0300
87,"Инженер-дизайнер (входные и межкомнатные двери, удаленная работа)",,,,Санкт-Петербург,2022-12-23T11:39:21+0300
88,Ученик инженера по ремонту часов,48000.0,,RUR,Якутск,2022-12-23T06:07:16+0300
89,Ночной помощник системного администратора в Yandex Cloud,32400.0,81000.0,RUR,Москва,2022-12-23T09:46:10+0300
90,Дизайнер,35000.0,52000.0,RUR,Воронеж,2022-12-23T08:05:19+0300
91,Специалист технической поддержки/Инженер мониторинга,,70000.0,RUR,Москва,2022-12-23T11:22:22+0300
92,Системный администратор (IT-специалист),55000.0,,RUR,Краснодар,2022-12-23T10:23:37+0300
93,Ведущий инженер отдела информационных технологий и связи,51644.0,51644.0,RUR,Новосибирск,2022-12-23T07:09:48+0300
94,Графический дизайнер,,,,Щелково,2022-12-23T10:21:11+0300
95,Руководитель технических проектов клиентского опыта в Маркет,,,,Москва,2022-12-23T11:41:52+0300
96,Сотрудник для обновления программы КонсультантПлюс,40000.0,45000.0,RUR,Дудинка (Красноярский край),2022-12-23T10:47:06+0300
97,Механик по эксплуатации,50000.0,,RUR,Киров (Кировская область),2022-12-23T08:47:32+0300
98,Токарь,55000.0,,RUR,Пермь,2022-12-23T09:16:55+0300
99,Project manager,,100000.0,RUR,Москва,2022-12-23T11:06:01+0300
100,Главный механик,75000.0,,RUR,Северодвинск,2022-12-23T09:50:20+0300
101,Механик по автотранспорту,40000.0,,RUR,Омск,2022-12-23T08:19:08+0300
102,Руководитель (Администратор) проектов стрима «Развитие партнерских проектов и небанковских сервисов»,,,,Москва,2022-12-23T11:15:40+0300
103,Инженер-электроник в бюро систем передачи данных,39000.0,,RUR,Казань,2022-12-23T11:28:39+0300
104,"Разработчик мобильных приложений iOS, Логистика, Пункты выдачи заказов",,,,Санкт-Петербург,2022-12-23T09:51:59+0300
105,Инженер,50000.0,50000.0,RUR,Уфа,2022-12-23T10:15:49+0300
106,Программист Oracle,,,,Екатеринбург,2022-12-23T09:03:06+0300
107,Главный специалист отдела технического сопровождения в городе Жезказган,200000.0,200000.0,KZT,Жезказган,2022-12-23T07:21:20+0300
108,Техник-инсталлятор радиооборудования,,,,Алматы,2022-12-23T11:03:50+0300
109,Помощник системного администратора в Yandex Cloud,54000.0,70200.0,RUR,Псков,2022-12-23T10:24:33+0300
110,Оператор станков с ЧПУ,1400.0,,BYR,Минск,2022-12-23T10:04:37+0300
111,Системный администратор (Windows),50000.0,60000.0,RUR,Новосибирск,2022-12-23T10:13:14+0300
112,Менеджер проектов,,,,Томск,2022-12-23T11:46:50+0300
113,Специалист технической поддержки,40000.0,50000.0,RUR,Краснодар,2022-12-23T08:31:42+0300
114,Оператор станков с ЧПУ,,150000.0,RUR,Новосибирск,2022-12-23T09:15:10+0300
115,Специалист по обслуживанию ОПС,35000.0,50000.0,RUR,Псков,2022-12-23T09:42:11+0300
116,Дендролог,50000.0,,RUR,Симферополь,2022-12-23T09:00:10+0300
117,Фронтенд разработчик,100000.0,,RUR,Краснодар,2022-12-23T08:09:26+0300
118,Механик,35000.0,,RUR,Ставрополь,2022-12-23T09:51:05+0300
119,Техник,60000.0,70000.0,RUR,Москва,2022-12-23T11:54:39+0300
120,Программист SQL,,,,Минск,2022-12-23T11:00:50+0300
121,Механик по выпуску автотранспорта,,40000.0,RUR,Волгоград,2022-12-23T10:41:56+0300
122,Менеджер проекта птицеводство,550000.0,,KZT,Алматы,2022-12-23T06:17:19+0300
123,Project Manager,,,,Санкт-Петербург,2022-12-23T11:46:50+0300
124,Продакт-менеджер (менеджер по продукту),450000.0,600000.0,KZT,Алматы,2022-12-23T06:26:19+0300
125,Аналитик,32000.0,32000.0,RUR,Омск,2022-12-23T07:02:18+0300
126,Аналитик данных (Департамент закупок),,,,Москва,2022-12-23T06:24:47+0300
127,Инсталлятор,45000.0,,RUR,Новокузнецк,2022-12-23T11:40:38+0300
128,Токарь-универсал,117000.0,,RUR,Пермь,2022-12-23T09:55:22+0300
129,Ведущий аналитик данных (Департамент закупок),,300000.0,RUR,Москва,2022-12-23T06:24:47+0300
130,Специалист технической поддержки,40000.0,,RUR,Краснодар,2022-12-23T08:09:26+0300
131,Оператор листогибочного пресса с ЧПУ,60000.0,75000.0,RUR,Нижний Новгород,2022-12-23T11:35:52+0300
132,Business Analyst,,,,Санкт-Петербург,2022-12-23T10:51:14+0300
133,Механик гаража,40000.0,,RUR,Георгиевск,2022-12-23T10:33:08+0300
134,Монтажник ТО систем видеонаблюдения,1500.0,,BYR,Минск,2022-12-23T11:55:34+0300
135,Заведующий мастерской,,352000.0,KZT,Алматы,2022-12-23T07:47:03+0300
136,Менеджер проектов BD,,,,Москва,2022-12-23T11:53:42+0300
137,Выездной дизайнер корпусной мебели,100000.0,200000.0,RUR,Москва,2022-12-23T11:22:27+0300
138,Монтажник эксплуатации,45000.0,50000.0,RUR,Новокузнецк,2022-12-23T06:15:07+0300
139,Руководитель отдела сервиса,,,,Алматы,2022-12-23T11:44:04+0300
140,Консультант (оптимизация бизнес-процессов),,,,Москва,2022-12-23T10:51:15+0300
141,Разработчик программного обеспечения (Ментор - ассистент),,,,Ташкент,2022-12-23T09:50:24+0300
142,Менеджер проектов,,,,Уфа,2022-12-23T11:46:50+0300
143,Инженер телекоммуникации,,,,Иркутск,2022-12-23T10:23:57+0300
144,Senior Front-end developer,,,,Москва,2022-12-23T10:28:18+0300
145,Веб-аналитик,,,,Москва,2022-12-23T10:53:16+0300
146,Ведущий системный администратор,90000.0,126000.0,RUR,Норильск,2022-12-23T10:11:36+0300
147,Аналитик,,,,Москва,2022-12-23T10:24:00+0300
148,Middle Frontend Developer (удаленно),150000.0,230000.0,RUR,Томск,2022-12-23T10:55:18+0300
149,Аналитик,,,,Курск,2022-12-23T08:53:47+0300
150,Техник охранно-пожарной сигнализации (ОПС),60000.0,,RUR,Красноярск,2022-12-23T09:53:28+0300
151,Копирайтер,3000000.0,5000000.0,UZS,Ташкент,2022-12-23T08:19:27+0300
152,Программист,17930.0,,RUR,Балашиха,2022-12-23T11:11:24+0300
153,"Резчик металла (на пилах, ножовках и станках)",70000.0,,RUR,Москва,2022-12-23T11:12:50+0300
154,Senior QA Manual (Java) тестировщик,,280000.0,RUR,Москва,2022-12-23T10:45:55+0300
155,"Тестировщик (web, автоматизация)",,,,Владивосток,2022-12-23T06:08:55+0300
156,Аналитик данных (Департамент закупок),80000.0,80000.0,RUR,Челябинск,2022-12-23T06:24:47+0300
157,Системный аналитик на автоматизацию отчетности,,,,Москва,2022-12-23T09:30:04+0300
158,Ведущий специалист по информационной безопасности,,130000.0,RUR,Москва,2022-12-23T11:07:14+0300
159,Android developer,140000.0,160000.0,RUR,Санкт-Петербург,2022-12-23T10:57:00+0300
160,Инженер технической поддержки,,,,Москва,2022-12-23T10:28:02+0300
161,Аналитик качества данных,,,,Санкт-Петербург,2022-12-23T10:19:32+0300
162,SQL Developer (Oracle),,,,Тверь,2022-12-23T10:51:43+0300
163,Специалист по защите информации,60000.0,,RUR,Нижний Новгород,2022-12-23T08:40:13+0300
164,Начальник отдела информационных технологий (IT-директор),,,,Краснодар,2022-12-23T10:23:34+0300
165,Дизайнер,40000.0,40000.0,RUR,Киров (Кировская область),2022-12-23T11:38:00+0300
166,Бизнес-аналитик,,,,Москва,2022-12-23T09:48:12+0300
167,Инженер связи,60000.0,80000.0,RUR,Нижний Новгород,2022-12-23T10:37:23+0300
168,UX-редактор,,,,Москва,2022-12-23T10:16:58+0300
169,"Корреспондент, Информационно-новостной портал Kraj.by",450.0,1200.0,BYR,Молодечно,2022-12-23T10:03:55+0300
170,Тестировщик Middle (web),,,,Владивосток,2022-12-23T07:02:22+0300
171,Системный аналитик,100000.0,,RUR,Москва,2022-12-23T10:30:52+0300
172,QA Team Lead,,,,Минск,2022-12-23T09:45:34+0300
173,Системный аналитик (ЗУП),,,,Москва,2022-12-23T09:08:39+0300
174,Оператор фрезерного станка с ЧПУ,80000.0,,RUR,Зеленоград,2022-12-23T11:30:15+0300
175,Инженер-программист С++,120000.0,,RUR,Москва,2022-12-23T10:26:29+0300
176,Java-разработчик,,,,Москва,2022-12-23T10:09:22+0300
177,Специалист чат поддержки г. Воронеж (офис),40000.0,,RUR,Воронеж,2022-12-23T07:15:48+0300
178,Менеджер процессов,70000.0,90000.0,RUR,Владивосток,2022-12-23T09:06:11+0300
179,Ведущий инженер (администратор средств защиты информации),,,,Красноярск,2022-12-23T09:12:24+0300
180,Ведущий эксперт по информационной безопасности,135000.0,,RUR,Нижний Новгород,2022-12-23T09:25:48+0300
181,QA сетевой инженер,120000.0,,RUR,Москва,2022-12-23T10:26:13+0300
182,Контент-менеджер на маркетплейс,70000.0,,RUR,Балашиха,2022-12-23T10:33:16+0300
183,Руководитель отдела сервиса,,200000.0,RUR,Санкт-Петербург,2022-12-23T11:56:16+0300
184,Инженер по телефонии,,,,Алматы,2022-12-23T10:56:58+0300
185,Руководитель направления аналитики (RuStore),,,,Москва,2022-12-23T10:10:09+0300
186,Технический писатель,,,,Минск,2022-12-23T11:28:51+0300
187,Рабочий по комплексному обслуживанию зданий (дворник),56000.0,,RUR,Москва,2022-12-23T06:41:22+0300
188,Ведущий эксперт сектора защиты информации отдела безопасности (временная должность),,,,Липецк,2022-12-23T11:10:29+0300
189,Механик,200000.0,,KZT,Шымкент,2022-12-23T07:31:36+0300
190,PHP программист,,,,Алматы,2022-12-23T10:31:57+0300
191,Графический дизайнер (маркетплейс),,,,Краснодар,2022-12-23T10:44:25+0300
192,"Тестировщик (web, автоматизация)",,,,Томск,2022-12-23T06:08:55+0300
193,Backend developer RoR,150000.0,200000.0,RUR,Екатеринбург,2022-12-23T08:47:07+0300
194,Мастер по ремонту техники (цифровой и бытовой),80000.0,100000.0,RUR,Красноярск,2022-12-23T10:38:39+0300
195,Java разработчик ( Трайб Credit Cards),,,,Москва,2022-12-23T09:26:57+0300
196,Дизайнер,,,,Красная Поляна,2022-12-23T11:22:16+0300
197,Middle Frontend Developer (удаленно),150000.0,230000.0,RUR,Ростов-на-Дону,2022-12-23T10:39:53+0300
198,Инженер технической поддержки,50000.0,55000.0,RUR,Артем,2022-12-23T09:57:40+0300
199,Senior Product Manager,,300000.0,RUR,Москва,2022-12-23T08:49:19+0300
200,Программист-электронщик (ПЛК/PLC),,100000.0,RUR,Санкт-Петербург,2022-12-23T09:51:06+0300
201,"Руководитель проекта ""Честный знак""",150000.0,,RUR,Москва,2022-12-23T10:07:26+0300
202,Программист,80000.0,80000.0,RUR,Тула,2022-12-23T09:43:14+0300
203,Супервайзер по автоматизации закупок,,,,Алматы,2022-12-23T06:23:54+0300
204,Фрезеровщик с ЧПУ (токарь-расточник с ЧПУ),110000.0,200000.0,RUR,Екатеринбург,2022-12-23T09:42:02+0300
205,Программист 1C,120000.0,,RUR,Ижевск,2022-12-23T08:33:52+0300
206,Инженер телекоммуникации,,,,Чита,2022-12-23T10:23:39+0300
207,Бизнес-аналитик,,,,Москва,2022-12-23T10:15:12+0300
208,Системный администратор,100000.0,120000.0,RUR,Москва,2022-12-23T11:48:44+0300
209,Механик по выпуску автотранспорта,,40000.0,RUR,Краснодар,2022-12-23T10:36:20+0300
210,Младший консультант-аналитик,30000.0,50000.0,RUR,Волгоград,2022-12-23T09:21:28+0300
211,Помощник системного администратора в Yandex Cloud,54000.0,70200.0,RUR,Архангельск,2022-12-23T10:24:27+0300
212,Копирайтер-журналист,25000.0,35000.0,RUR,Адлер,2022-12-23T08:44:26+0300
213,Бизнес-аналитик (Культура и бизнес),,,,Москва,2022-12-23T10:32:15+0300
